SBNET,SBNNT,SDNET,SDNEU,SDNNT,SDNNU,SENET,SENEU,SENNT,SENNU,SMNET,SMNEU,SMNNT,SMNNU,SSNET,SSNNT,SBSET,SBSNT,SDSET,SDSEU,SDSNT,SDSNU,SESET,SESEU,SESNT,SESNU,SMSET,SMSEU,SMSNT,SMSNU,SSSET,SSSNT,SBCET,SBCNT,SDCET,SDCEU,SDCNT,SDCNU,SECET,SECEU,SECNT,SECNU,SMCET,SMCEU,SMCNT,SMCNU,SSCET,SSCNT,SBBET,SBBNT,SDBET,SDBEU,SDBNT,SDBNU,SEBET,SEBEU,SEBNT,SEBNU,SMBET,SMBEU,SMBNT,SMBNU,SSBET,SSBNT
0.7149224146,0.8431853486,0.4355489698,1.2749468902,2.8164482237,1.1541286559,0.2341032769,3.8579963314,2.2026222172,0.3754566893,1.3154090601,1.2608508318,0.6113836688,0.7324766847,0.6958333501,0.9632710759,1.247923756,0.8224535026,0.6035734178,5.5803996371,7.4441145911,1.2589042652,0.8746496847,0.4144741249,1.7684590526,0.1844053716,0.5366393363,0.4335182904,0.700456233,0.4463856221,0.4028350106,1.6638992944,2.6230976919,1.3871984197,2.3045768831,1.3425844464,2.1445222633,0.7756274679,4.052879368,1.8803302196,0.127074848,1.7833511406,2.4822736642,0.4482836559,2.6641226398,1.1731895879,1.8503186588,3.0194245082,0.3991994091,0.8153286169,1.4657722463,0.6744947473,0.7995483045,1.1090677438,2.4218407012,1.7291239805,0.1176010556,1.2127189486,0.2873659397,2.2193077374,0.5581013174,0.2359648311,1.0760619116,5.4562559924
1.7491268721,1.0801864362,0.6043347354,2.9446306743,1.8525179154,0.5339949173,1.7644113096,0.2950991339,0.3059506829,2.9496355866,1.2428490264,0.6237609014,0.7812540832,1.2541747829,0.5256222605,0.9877502129,2.7111645609,1.82831977,2.5481160682,1.8383086133,1.6670335556,0.9446267357,0.5639220674,1.1817785422,1.0803807913,0.852821007,3.1586073359,1.5347756527,1.5163353447,0.8971021227,1.8966469527,1.0729540679,1.7914167891,0.2532531317,2.4541641992,3.8649920664,1.4348628128,1.046087749,1.3717683916,0.7729814357,1.0130963386,1.5361271843,1.3525206043,0.3302455163,1.5291427587,1.1304723108,0.6834033849,1.1184401189,1.7962702484,0.9412482049,1.8620180728,0.6975311348,1.7358627463,1.0176035197,1.8236280282,3.335743368,1.0147758158,1.8474359051,1.2377145215,0.9280440319,0.724321352,1.2871563976,0.1503927615,0.2431564813
1.5016019597,2.9129931482,0.7964031936,1.662298393,0.1616764572,1.2459528763,0.5540711633,0.4560179762,2.7938291477,1.1116013354,0.6502454244,1.5897984475,0.5542328878,0.3946882621,1.0255908236,0.6634305894,1.1001832434,0.6790384624,2.3482937775,2.9941382156,0.3302967501,1.4657927349,1.0115617589,0.7996809491,0.9466140433,1.1345594005,1.1983730673,0.3675853652,0.9945757534,0.4896509053,0.0691888511,0.8124534523,1.5012175937,3.5483201827,2.7384982276,1.1147180861,1.5260736214,0.8093209939,2.4374995769,1.5188733644,0.618882508,0.3046248665,0.8796064065,1.8010726885,0.594729937,1.0334575494,1.2568247502,0.5744921183,0.6807768914,0.2071101288,0.9214455471,0.9230343397,1.1677011546,0.6274367062,1.145160405,1.0330675833,0.3398386834,0.2239245717,0.8227765264,1.3031277774,0.1703935255,0.3928683122,0.7019418935,0.6578306445
1.2691834516,0.678260204,1.1604247928,2.6163108176,1.2387899645,0.8679246807,0.7043745045,0.4837792208,2.5517473998,0.4245020347,0.9388828144,1.3786309408,1.7035190195,0.8270273195,0.8626117745,1.5822521849,0.6335980693,1.8911903554,1.5647442389,0.9814139818,1.9684913025,0.807984575,0.9552312596,0.8767488376,1.6577033533,3.9951665552,0.3524104517,0.6530858699,0.6392218009,1.8677272523,0.1206806077,0.7788311259,3.4275567038,0.3162870017,2.6531849256,1.8383954212,1.5481144911,2.3691152451,0.9554436598,2.5264315368,1.3825309057,0.55502502,0.5072953269,1.1739863701,1.5875237609,0.4589164937,0.69511369,1.4573797293,1.6105321053,1.6718177728,0.2922253446,0.8476626556,0.8368896301,1.0826876665,8.1364835223,3.3625755216,0.8644180946,1.443127942,1.5290457814,1.1257915891,1.4383995109,0.82663981,1.2287199941,0.9360977457
1.1075125063,1.080164563,1.5387077733,0.9668677122,1.3889958313,0.7225053174,0.8666709993,2.799348201,0.3217000282,0.5907683772,1.65358911,1.4713765522,0.2219389516,1.4816302238,0.3645897461,0.8936344352,0.5765860432,0.643995299,2.4585303559,3.0418929231,2.0754726402,1.2178324497,0.6121950754,0.9446913089,0.6117847381,0.8961726713,0.7540868784,0.5712339865,0.897918874,0.764593448,0.2166282267,1.0086901461,0.7199809673,6.833056927,0.8724483306,2.2127553066,2.0605573479,1.3522402404,2.2454831375,0.9610536758,1.0946702328,1.5892828083,0.2718314352,1.3402805958,0.9091763311,2.1930169951,0.9634964294,1.9310897236,1.2580532712,2.152951123,2.5553860171,1.1443939383,0.440555656,1.548786481,2.5102120379,2.0226677976,2.1066400822,1.0227820805,1.0761900969,0.6989326732,0.9361271102,0.9991869756,0.9565271177,0.5914180681
0.3638263154,0.9977667245,1.4099521303,0.7143950022,0.3133744252,0.3138019388,0.8943382433,0.1388098746,1.5849784018,1.0841377217,0.4010892325,1.9493064861,1.850115534,2.0928713413,1.5489136964,3.8425084257,1.8704143609,0.6442575863,0.8546903575,1.3524200689,2.149270377,1.4036778262,2.5633471222,0.5994351223,0.5749413181,0.6419381055,0.8132934193,0.1761875163,1.5781941304,0.3984776678,1.2744243496,0.348223777,1.4476087552,2.775295769,1.7076859381,2.5692172829,2.5095505485,1.8408035193,2.0519671674,2.3148361569,2.8245406884,0.859628213,0.6995589526,0.3584104583,1.4661033775,0.8865996253,1.1751392476,1.4352464527,0.9609644098,1.6130567935,2.7597275203,2.3151053469,2.8128381796,1.5739861466,0.685796183,1.1057292141,0.3463858767,0.8374319484,0.5668208386,2.3990449591,0.9436183738,0.2459239459,0.3207783443,0.1844801504
1.3639708854,0.6129591501,6.3552696528,2.1370128717,1.2334320215,0.6948429292,1.3609212192,0.9081697985,1.1597413559,1.1065111642,0.8322464993,0.684570716,1.4203873883,1.4195289123,1.1664231266,0.7357973154,0.2514443328,2.4436946353,1.9579923871,1.0769823912,4.2642075053,0.7188928048,1.5925625636,0.3176840037,2.8474482167,2.3251052054,0.3617519307,1.2306372031,0.6397604552,1.2054063417,1.2030583756,1.3600873406,1.0200744535,3.0972349786,1.8799253172,2.3497365672,1.9995068045,0.9388250205,1.6117127378,1.4608160505,0.7871458068,1.3613207413,1.0564929606,0.3690503062,1.1618560459,0.8105050075,1.7302182866,0.8261477281,2.3127004962,1.2953706309,0.5939377289,1.5308527857,0.8738504212,0.4296611469,1.3365690929,1.2838783484,1.1857366983,0.86522006,0.6242985631,1.0235448747,0.6821593688,1.2700196382,0.1528609822,0.8245948506
1.5101988081,2.9760865502,0.7269253497,0.5371177245,1.5057623014,2.9305983418,1.6093610097,0.8296613023,0.4990439267,1.3007461295,0.7197318551,0.7043842332,0.6685083881,1.0635966242,0.4639083885,0.6598457285,1.6878533085,1.208953915,2.5231086809,0.9215549824,2.6486261763,1.6501881929,0.5359047528,1.3205181335,1.3009735739,3.2541122543,1.0944022828,0.4166760243,0.6553714144,0.8063260911,1.8061004279,1.4627136961,3.3743096538,1.4185322318,1.4756756783,1.8699489425,0.7319459597,0.9908788671,1.4295361218,1.3352969864,0.8068351363,1.3311942679,1.934568206,0.8040596339,0.7190447931,4.5864458608,0.9695883523,1.7103800769,1.4815660129,1.0078467572,3.1970012639,1.1189007911,0.9423246975,5.191477658,1.4688143354,1.195049675,0.4491546041,3.7935546547,0.9032991431,0.5116297984,0.3308888393,1.4719030404,0.477013081,1.6836904593
2.9762641813,2.0555818277,1.5842083879,0.8347578233,0.9822446386,1.0166040176,3.0748567183,0.5744862552,0.4777155857,0.4079822618,1.4278936672,0.242733034,0.6008221176,0.4829205883,1.0954290457,0.6111767303,1.3566220977,1.8022494305,1.1167774561,0.7671523405,1.1373553315,3.9402160884,0.8571816594,1.3938898169,0.2697245963,0.7527965867,0.6008038882,1.487634027,0.4239318311,0.3061787422,1.2656601568,0.1547133136,1.6812733612,0.8385408921,1.7868115767,0.7223519137,1.1504094151,0.129271909,2.2347825166,1.8534044636,1.8147813525,1.200874775,1.7744548262,0.5962029359,0.8080851492,1.6432768752,0.9073556139,0.9821871068,1.105138554,1.4614605775,2.8156007019,0.9795935081,0.9542187957,2.5683865994,1.7085691513,2.7287690966,0.2820947924,0.817737117,1.8319125372,1.1670884499,0.7132142878,0.7343555776,0.1647764147,1.1806520411
1.3103410942,2.6238780539,0.6685738325,0.5440057107,0.6963853561,1.8760313956,0.5989536456,1.0840960284,0.8457416417,0.420073482,1.1217210231,1.6144946571,0.8745026376,0.4058889003,0.6570891953,0.9178967023,0.9917835723,1.7104716053,1.3503059439,1.8166286977,1.3337218854,0.6718647211,0.8423617898,2.5766844505,1.114207227,0.6283051318,0.1170555762,1.4944266756,0.4368073453,0.9837127778,0.3785975518,0.6502593805,0.5614178292,1.3015571292,0.5122740504,3.704813591,1.1977946993,1.624786056,1.9629026908,1.8667112263,0.9403672209,4.853971261,1.9771360864,7.163882403,0.148715944,0.1212456867,0.751016691,0.3788702857,3.2346694711,0.86272336,1.1672522246,1.1713633614,0.684852767,6.0761636575,0.7124484567,1.7049175897,1.7875287359,0.6608229179,1.1415471929,0.7782300372,0.4463738903,2.5423954299,1.6499814568,3.1389220283
