HBNET,HBNNT,HDNET,HDNEU,HDNNT,HDNNU,HENET,HENEU,HENNT,HENNU,HMNET,HMNEU,HMNNT,HMNNU,HSNET,HSNNT,HBSET,HBSNT,HDSET,HDSEU,HDSNT,HDSNU,HESET,HESEU,HESNT,HESNU,HMSET,HMSEU,HMSNT,HMSNU,HSSET,HSSNT,HBCET,HBCNT,HDCET,HDCEU,HDCNT,HDCNU,HECET,HECEU,HECNT,HECNU,HMCET,HMCEU,HMCNT,HMCNU,HSCET,HSCNT,HBBET,HBBNT,HDBET,HDBEU,HDBNT,HDBNU,HEBET,HEBEU,HEBNT,HEBNU,HMBET,HMBEU,HMBNT,HMBNU,HSBET,HSBNT
3.9538492362,3.4647418358,8.7269736832,6.0885437772,6.9488465951,7.9969606284,0.9953154452,3.3651897119,5.5340261422,5.4172048919,1.8738796064,1.9170599261,4.6697716522,3.2259381218,0.7851923143,0.6742886689,0.2212544801,0.1420227579,3.7590526694,2.5269895988,1.3247964476,1.0295778933,0.4132370346,0.1130977893,1.5884768106,0.4807628537,0.4228258306,0.7420151816,0.3412210251,0.6577539199,0.3263412666,0.7892360186,2.2359014492,3.0523604778,2.4495508474,8.0374328102,5.0632144946,14.2409723986,0.9083176074,0.9879976172,15.7890957041,1.301565407,0.8553375551,0.5007300085,0.9960648482,1.7937147888,1.9424779508,9.5952102293,0.7060450235,2.1071225918,2.0103594842,10.2883289948,5.9286793672,1.8238327085,0.3044973363,2.653448126,1.0275288039,1.0039255008,0.3973623314,0.4113606303,0.5856261488,1.0774861686,0.3902122504,0.8370550218
8.0946976927,12.0393917288,5.7780120235,3.6295496962,4.1957158753,4.6822506083,4.357637706,0.9776291432,2.4636439939,2.5849063845,1.0076436412,2.8195197667,2.2087954223,2.3094893406,3.1327640053,5.0473276697,0.4391493444,0.2311361825,0.9447547803,1.1038972985,1.7384196611,1.6556394414,0.5366468428,0.4652776844,0.8977344904,0.8432628062,0.7005450516,0.5840477543,0.6131074886,0.6576593634,2.200036208,0.6530293825,2.561645536,3.3760356598,17.0328437138,6.2491354361,5.5617414613,3.391777763,0.8312519742,4.6825048557,1.7635191125,8.9583502198,1.2459489999,0.3727358362,2.163885042,1.2601005571,2.5413264098,2.0145493431,1.0342400001,0.5262038538,6.1235964704,5.3457067703,1.4123550287,1.7418400484,1.0815065237,1.021980448,1.5218335915,2.4718453739,0.1811610941,0.6152354898,1.8610360142,1.4891256688,0.2563481115,1.7458717982
6.5758631412,5.2800922469,3.1103674715,5.8703423658,4.1414319726,2.7442055755,2.1969589466,5.7765462752,1.6197802737,1.4599013929,5.989250717,2.5939794431,5.0490164834,1.2082369371,6.3447694155,3.8681602824,0.5358095242,1.2548298845,0.4230814278,1.5188926568,0.6351171454,0.8183621724,0.1388307874,0.4993106603,0.2000083485,0.6156739444,0.1853214763,0.320193357,0.5532758641,0.5806874973,1.388110195,0.1391780562,5.685992138,7.3211066791,6.5414616356,1.3315217571,1.925459262,4.6089097209,5.2096799515,1.0047368614,2.2175424819,2.6221829155,0.7250073447,2.0757476374,45.2755131342,1.7233556463,4.0367099884,0.4499088838,0.3076304729,2.7924583117,7.9113559542,3.1178570977,1.8949759202,6.952770463,0.9574914525,0.213073888,1.16311608,1.6449519517,0.153131501,0.3469647071,0.5207342915,0.577454233,0.4240757217,0.5014103353
9.9542911747,1.4868463045,2.9416955801,20.3660434296,3.0058056895,14.0874784782,0.3941217724,4.7331302932,20.6986774129,0.5283956894,1.6950893479,4.3721825314,0.8873468251,3.408078558,3.6590119918,2.3852345168,0.149803794,0.1161555481,2.2613972219,1.4391132511,0.5801904987,2.3515452085,0.9052746797,0.4410541005,0.3155783074,0.4004586503,0.2447635086,1.0410340187,0.9170059207,1.2294766452,0.3461158108,0.1053855129,1.507143177,2.3824506069,4.6928286708,3.0021828567,6.9758302323,3.2298125087,1.8802881868,3.6628153398,4.9103930148,1.2326872663,3.0133117668,0.877081467,1.6198385121,2.4735645041,3.4891609825,1.1925075835,0.6211654402,0.9965877255,3.2062980832,3.2589194504,1.9156789205,0.9042194292,6.5170979758,0.9490051437,0.5776701478,3.3194692212,0.2225677631,0.1033107594,1.1678084097,4.9233478982,0.5295723075,1.07084743
2.6129537917,3.1331131823,4.7787651062,14.5571075703,9.687688071,9.5581836077,2.6895607096,1.8202202433,5.2823617243,1.1998859185,1.2103164956,2.0543925628,0.8510169943,1.8012282408,1.1541100178,2.6577168683,2.9325420469,0.97719498,1.9079797625,1.5776820203,10.2580287599,0.7210832219,0.4354812929,0.3401741245,0.8024818252,0.5012021284,0.0344059404,13.2373272747,0.9364059568,3.5787851452,1.0034734704,0.5670402865,2.0747704714,5.9392711223,17.5217627929,1.9048927649,12.6074259973,3.2088095027,2.7490785374,1.6532688367,1.4881857425,4.659021304,1.0012774369,9.5740277385,1.0561299332,1.2028586245,3.523557502,4.4972644937,0.8188137772,0.7797491124,16.2870224992,1.6311014049,2.5383418449,7.7520015176,0.7689874709,0.4734586537,1.6885803096,0.0765259953,0.3398511199,1.7765602334,0.3269731291,0.5704885059,1.5771289018,0.1500826309
9.1244355958,2.4933648311,6.0072638704,13.553755874,1.7721654715,6.8971093106,2.8360980403,3.6056627531,65.3555205061,3.0729440792,2.5392022295,8.5510536517,1.6762875297,1.8054340749,3.5151899931,2.0240828052,0.5975796715,0.927553872,10.5550938872,0.7870571642,1.0078843134,1.2866006796,0.7027568649,0.7948630323,0.6753060031,0.2189529465,0.8191575716,0.4493107928,0.8321974243,0.493263353,0.8712338266,4.0259866052,0.7322395177,2.6917492469,17.9922472022,3.6505637043,3.4791682103,1.9887660256,1.1713549096,0.9748553821,2.7610805816,5.5650704141,5.051936941,0.9672688185,1.8908795726,3.2776835072,1.686789622,2.913675202,0.8725584671,0.88300164,1.2496944938,2.9041560081,39.9617503713,3.7580504803,0.6040491836,1.1990648217,1.2508472452,1.0941516947,1.2738155762,0.0908550479,0.6550043532,0.1722207824,0.5681424321,1.605506871
10.3914939149,2.4234632758,2.2449787573,2.8225692347,6.7947544163,4.4915860077,1.390839181,1.5547377504,35.7025631668,1.9414846223,1.1693482493,1.7611354878,1.7800058528,1.2793336567,1.9698899183,5.7855672171,1.0515269393,0.53902626,0.9197292963,0.8799516423,0.3778740987,2.7033114448,0.3967278241,0.4575475896,0.1491319176,1.0961532111,0.9509124402,0.8461215076,0.4238648599,0.1999475755,0.8047322531,1.7255789479,0.8373818907,2.1355234191,2.5298333129,4.0425704743,4.0220157755,3.9915349584,2.3675434301,1.8176184607,2.7808250806,0.6830501519,1.7942194684,1.4022532245,0.647249774,7.4225014753,1.0043296722,0.7252401591,0.595311519,1.1765044689,1.5759347034,1.9838205693,4.5273893135,1.5727237626,0.7647152328,1.0029876943,1.3595711063,0.4161357848,1.3663798777,0.3609548268,1.4952475137,1.0643148174,0.5829703451,0.8072071407
1.584633967,2.9308556733,6.2296944537,6.7303279031,5.8026137406,27.7858350574,2.7918057511,1.5255815342,2.5784779031,7.5473474932,13.6487947782,0.9930640632,2.6374980159,2.2968446412,1.039041987,1.7888813232,1.2418984711,0.6226830867,0.3710792529,1.3085149064,0.5418264406,1.8751634451,0.3880112102,0.8693572225,0.3158331474,0.5159112773,0.2996509912,0.7706377983,0.7912937336,1.5264976745,0.4496946531,1.7113474952,4.4134875891,3.2033664045,3.6810352825,2.0608705553,3.4350919604,3.7472857704,1.6186773057,2.2108975721,2.5160924103,4.7784545091,2.3920202196,1.1793448349,11.1721453188,2.3179867906,1.9278148704,2.5222663226,0.8754610356,3.2093616086,5.2342653266,1.6719240156,3.0282346767,2.0599741986,0.18626954,1.2659578187,1.547662088,1.4221133622,1.1597014021,0.7368762159,1.153915644,0.8086682273,2.0848993045,5.6195226092
4.6052239428,11.2579930372,2.8558579717,2.9096080218,4.7957347604,50.7354515125,2.2490264145,2.6979388136,1.6645971665,5.1799898464,1.7643473431,1.9149329746,1.8109319258,3.8733022014,2.3632057415,2.4503499558,0.3167709503,2.524916609,1.2917260083,1.3111466833,0.6502410772,1.1125549862,0.4568645689,0.5840507843,0.162939561,0.2035633116,0.6493727603,0.104834664,0.1002027676,0.7795809857,0.3875853628,5.442467801,0.4038363332,8.9140353702,3.9136385262,3.7067497283,3.7655697752,1.2077173106,0.563209814,3.1444160534,3.3919207412,1.4848638443,1.3363409112,1.1700671094,1.4054993079,1.5430914141,0.6093337048,1.6599114518,2.7030307448,0.3836976645,3.174835736,2.5215551682,1.4398849857,2.6692337349,0.3696288883,1.1320469867,0.686200553,1.3690797218,0.3980079553,0.5520164812,0.2648071413,0.9344353344,0.5515180417,0.4576881521
1.6973534285,4.9286831931,1.8655622419,3.4082790757,2.8262367935,11.9283303692,2.1687516633,1.5951799348,1.4193195017,2.3318899424,2.1779580084,3.7662232256,2.7356637428,2.8995700276,9.62898558,1.2801325862,0.8470091072,1.5297403575,0.8312355466,1.0037949834,0.810538705,0.9578768132,0.5479753709,0.2255222505,0.751271399,0.3781945861,1.2930139899,0.1937970187,0.5686376236,0.371372797,2.3935223109,0.3304603657,3.1457863308,1.738652821,3.0826707973,5.6942593126,1.6635062299,4.1451844647,1.1920491379,1.6201503149,3.0561123954,3.7790700229,0.5696426923,1.928137727,2.8536504064,1.391312876,3.9904495337,1.5864128222,0.5704399029,0.8837570827,1.7763736596,2.9717308814,4.9340576423,2.4776263766,3.5443721177,2.2321429507,3.1380951929,2.2062648298,0.7223159457,0.6891917286,0.5692115778,0.6493221643,3.8506297006,0.4025347595
